,playerID,year,score,player_seasonID,bioID,useFirst,lastName,pos,height,weight
1306,taylofa01,1973,0.0,taylofa011973,taylofa01,Fatty,Taylor,G,72.0,175.0
1307,terryja01,2008,0.0,terryja012008,terryja01,Jason,Terry,G,74.0,172.0
1308,thomais01,1982,2.0,thomais011982,thomais01,Isiah,Thomas,G,73.0,180.0
1309,thomais01,1983,3.0,thomais011983,thomais01,Isiah,Thomas,G,73.0,180.0
1310,thomais01,1984,3.0,thomais011984,thomais01,Isiah,Thomas,G,73.0,180.0
1311,thomais01,1985,3.0,thomais011985,thomais01,Isiah,Thomas,G,73.0,180.0
1312,thomais01,1986,2.0,thomais011986,thomais01,Isiah,Thomas,G,73.0,180.0
1313,thomais01,1989,3.0,thomais011989,thomais01,Isiah,Thomas,G,73.0,180.0
1314,thomais02,2011,0.0,thomais022011,thomais02,Isaiah,Thomas,G,69.0,185.0
1315,thomais02,2016,2.0,thomais022016,thomais02,Isaiah,Thomas,G,69.0,185.0
1316,thompda01,1975,0.0,thompda011975,thompda01,David,Thompson,G-F,76.0,195.0
1317,thompda01,1976,3.0,thompda011976,thompda01,David,Thompson,G-F,76.0,195.0
1318,thompda01,1977,3.0,thompda011977,thompda01,David,Thompson,G-F,76.0,195.0
1319,thompkl01,2011,0.0,thompkl012011,thompkl01,Klay,Thompson,G,79.0,205.0
1320,thompkl01,2014,1.0,thompkl012014,thompkl01,Klay,Thompson,G,79.0,205.0
1321,thompkl01,2015,1.0,thompkl012015,thompkl01,Klay,Thompson,G,79.0,205.0
1322,thompkl01,2018,1.0,thompkl012018,thompkl01,Klay,Thompson,G,79.0,205.0
1323,thomptr02,2011,0.0,thomptr022011,thomptr02,Tristan,Thompson,F,81.0,227.0
1324,thornal01,2007,0.0,thornal012007,thornal01,Al,Thornton,F,79.0,220.0
1325,thornma01,2009,0.0,thornma012009,thornma01,Marcus,Thornton,G,76.0,205.0
1326,thurmna01,1968,2.0,thurmna011968,thurmna01,Nate,Thurmond,C-F,83.0,225.0
1327,thurmna01,1970,2.0,thurmna011970,thurmna01,Nate,Thurmond,C-F,83.0,225.0
1328,thurmna01,1971,1.0,thurmna011971,thurmna01,Nate,Thurmond,C-F,83.0,225.0
1329,thurmna01,1972,1.0,thurmna011972,thurmna01,Nate,Thurmond,C-F,83.0,225.0
1330,thurmna01,1973,1.0,thurmna011973,thurmna01,Nate,Thurmond,C-F,83.0,225.0
1331,todormi01,1947,0.0,todormi011947,todormi01,Mike,Todorovich,F-C,77.0,205.0
